hotel_name,hotel_url,hotel_location,group_label,brand_label,group_type,lat,lon,formatted_address,provider,confidence,place_id,types,partial_match,status
The St. Regis Shanghai Jingan,https://www.americanexpress.com/en-us/travel/discover/property/China/Shanghai/The-St-Regis-Shanghai-Jingan?intlink=US-travel-discover-property-results-propertyCard-The-St-Regis-Shanghai-Jingan,"Shanghai, China",FINE HOTELS + RESORTS,St. Regis,Program,31.232645,121.45198,"China, Shang Hai Shi, Jing An Qu, 北京西路1008号 邮政编码: 200041",google_places,PLACE_DETAILS,ChIJ3zW5_BtwsjUR2kyc6h8k0E8,establishment;lodging;point_of_interest,False,CACHED
The St. Regis Shenzhen,https://www.americanexpress.com/en-us/travel/discover/property/China/Shenzhen/The-St-Regis-Shenzhen?intlink=US-travel-discover-property-results-propertyCard-The-St-Regis-Shenzhen,"Shenzhen, China",FINE HOTELS + RESORTS,St. Regis,Program,22.5430759,114.1066643,"5016 Shen Nan Dong Lu, Luo Hu Qu, Shen Zhen Shi, Guang Dong Sheng, China, 518001",google_places,PLACE_DETAILS,ChIJhVMwTzf0AzQRA174uQeavP0,establishment;lodging;point_of_interest,False,CACHED
The St. Regis Shenzhen Bao'an,https://www.americanexpress.com/en-us/travel/discover/property/China/Shenzhen/The-St-Regis-Shenzhen-Baoan?intlink=US-travel-discover-property-results-propertyCard-The-St-Regis-Shenzhen-Baoan,"Shenzhen, China",FINE HOTELS + RESORTS,St. Regis,Program,22.5514302,113.8810781,"1088 Xing Ye Lu, Bao An Qu, No, Guang Dong Sheng, China, 518101",google_places,PLACE_DETAILS,ChIJXd9nAQDvAzQRuSHjabe1-iI,establishment;lodging;point_of_interest,False,CACHED
The St. Regis Singapore,https://www.americanexpress.com/en-us/travel/discover/property/Singapore/Singapore/The-St-Regis-Singapore?intlink=US-travel-discover-property-results-propertyCard-The-St-Regis-Singapore,"Singapore, Singapore",FINE HOTELS + RESORTS,St. Regis,Program,1.306006,103.8260475,"29 Tanglin Rd, Singapore 247911",google_places,PLACE_DETAILS,ChIJb9RocosZ2jERYG-hayjKLIo,establishment;lodging;point_of_interest,False,CACHED
The St. Regis Bermuda Resort,https://www.americanexpress.com/en-us/travel/discover/property/Bermuda/St.-George's/The-St-Regis-Bermuda-Resort?intlink=US-travel-discover-property-results-propertyCard-The-St-Regis-Bermuda-Resort,"St. George's, Bermuda",FINE HOTELS + RESORTS,St. Regis,Program,32.388967,-64.6748867,"34 Coot Pond Road, St.George's GE 03, Bermuda",google_places,PLACE_DETAILS,ChIJGXKVKXxzLYoRB3T2EmQSuTc,establishment;lodging;point_of_interest,False,CACHED
The St. Regis Toronto,https://www.americanexpress.com/en-us/travel/discover/property/Ontario-CA/Toronto/The-St-Regis-Toronto?intlink=US-travel-discover-property-results-propertyCard-The-St-Regis-Toronto,"Toronto, Ontario CA",FINE HOTELS + RESORTS,St. Regis,Program,43.649722,-79.38027799999999,"325 Bay St., Toronto, ON M5H 4G3, Canada",google_places,PLACE_DETAILS,ChIJOaZGKvTL1IkR8aw3x1f3Ukc,establishment;lodging;point_of_interest,False,CACHED
The St. Regis Red Sea,https://www.americanexpress.com/en-us/travel/discover/property/Saudi-Arabia/Ummahat-Island/The-St-Regis-Red-Sea?intlink=US-travel-discover-property-results-propertyCard-The-St-Regis-Red-Sea,"Ummahat Island, Saudi Arabia",FINE HOTELS + RESORTS,St. Regis,Program,25.5472801,36.7452928,"Ummahat Island 1, Red Sea 48501, Saudi Arabia",google_places,PLACE_DETAILS,ChIJ3fk9GAD5sBURMKrbERnnujQ,establishment;lodging;point_of_interest,False,CACHED
The St. Regis Venice,https://www.americanexpress.com/en-us/travel/discover/property/Italy/Venice/The-St-Regis-Venice?intlink=US-travel-discover-property-results-propertyCard-The-St-Regis-Venice,"Venice, Italy",FINE HOTELS + RESORTS,St. Regis,Program,45.431933,12.33549,"P.za San Marco, 2159, 30124 Venezia VE, Italy",google_places,PLACE_DETAILS,ChIJP0FuiHGxfkcRHdcHCSIKnfE,establishment;lodging;point_of_interest,False,CACHED
The St. Regis Washington D.C.,https://www.americanexpress.com/en-us/travel/discover/property/District-of-Columbia-US/Washington/The-St-Regis-Washington-Dc?intlink=US-travel-discover-property-results-propertyCard-The-St-Regis-Washington-Dc,"Washington, District of Columbia US",FINE HOTELS + RESORTS,St. Regis,Program,38.9021897,-77.036168,"923 16th St NW, Washington, DC 20006, USA",google_places,PLACE_DETAILS,ChIJG6HF9L63t4kRNEOi1TUU2pc,establishment;lodging;point_of_interest,False,CACHED
The St. Regis Zhuhai,https://www.americanexpress.com/en-us/travel/discover/property/China/Zhuhai/The-St-Regis-Zhuhai?intlink=US-travel-discover-property-results-propertyCard-The-St-Regis-Zhuhai,"Zhuhai, China",FINE HOTELS + RESORTS,St. Regis,Program,22.171623,113.526596,"Area E, No.1663 Yinwan Road (41-72F, Zhuhai Center), 香洲区 Zhuhai, Guangdong, China",google_places,PLACE_DETAILS,ChIJozM7mId6ATQRR4fPnudjQZE,establishment;lodging;point_of_interest,False,CACHED
